COMPANY,PROMOTER & PROMOTER GROUP (A),PUBLIC (B)
Asian Hotels (North) Limited,0.0,100.0
GMR Power and Urban Infra Limited,46.28,53.72
Inox Green Energy Services Limited,56.12,43.88
TIL Limited,70.12,29.88
Gretex Corporate Services Limited,61.64,38.36
JB Chemicals & Pharmaceuticals Limited,48.78,51.22
Shadowfax Technologies Limited,16.71,83.29
SPML Infra Limited,38.33,61.67
Amagi Media Labs Limited,14.92,85.08
Nectar Lifesciences Limited,51.84,48.16
Advait Energy Transitions Limited,66.04,33.96
Best Agrolife Limited,50.44,49.56
Fineotex Chemical Limited,62.3,37.7
Halder Venture Limited,73.84,26.16
Maan Aluminium Limited,55.82,44.18
Optiemus Infracom Limited,72.17,27.83
SIGMA ADVANCED SYSTEMS LIMITED,71.22,28.78
Zodiac Clothing Company Limited,72.93,27.07
Authum Investment & Infrastructure Limited,68.79,31.21
Bharat Coking Coal Limited,90.0,10.0
Biocon Limited,44.91,54.99
Hilton Metal Forging Limited,13.71,86.29
VLS Finance Limited,56.38,43.62
Shankara Buildpro Limited,40.18,59.82
Krishival Foods Limited,37.21,62.79
eClerx Services Limited,54.52,43.65
Nureca Limited,68.09,31.91
Tirupati Forge Limited,49.44,50.56
Biocon Limited,48.27,51.63
Panache Digilife Limited,54.05,45.95
Optiemus Infracom Limited,72.42,27.58
W S Industries (I) Limited,51.57,48.43
20 Microns Limited,45.04,54.96
21st Century Management Services Limited,64.43,35.57
360 ONE WAM LIMITED,6.25,93.75
3i Infotech Limited,0.0,100.0
3M India Limited,75.0,25.0
3P Land Holdings Limited,73.3,26.7
5Paisa Capital Limited,32.78,67.21
63 moons technologies limited,45.63,54.37
A2Z Infra Engineering Limited,28.14,71.86
AAA Technologies Limited,34.38,65.62
Aadhar Housing Finance Limited,75.19,24.81
Aakash Exploration Services Limited,66.54,33.46
Aarey Drugs & Pharmaceuticals Limited,39.06,60.94
Aaron Industries Limited,73.06,26.94
Aartech Solonics Limited,52.75,47.25
Aarti Drugs Limited,55.03,44.97
Aarti Industries Limited,42.14,57.86
Aarti Pharmalabs Limited,43.1,56.9
Aarti Surfactants Limited,49.88,50.12
Aarvi Encon Limited,73.53,26.47
Aavas Financiers Limited,48.95,51.05
Aban Offshore Limited,46.0,54.0
ABB India Limited,75.0,25.0
Aditya Birla Capital Limited,68.58,31.42
A B Cotspin India Limited,52.5,47.5
Allied Blenders and Distillers Limited,80.91,19.09
Aditya Birla Fashion and Retail Limited,46.61,53.05
Abhishek Corporation Limited,57.63,42.37
A B Infrabuild Limited,30.95,69.05
Aditya Birla Lifestyle Brands Limited,46.6,52.89
ABM International Limited,74.7,25.3
Aditya Birla Real Estate Limited,50.21,48.77
Aditya Birla Sun Life AMC Limited,74.82,25.18
ACC Limited,56.69,43.31
Accelya Solutions India Limited,74.66,25.34
Accuracy Shipping Limited,63.69,36.31
Action Construction Equipment Limited,65.42,34.52
Ace Integrated Solutions Limited,73.53,26.47
Archean Chemical Industries Limited,53.43,46.57
Andhra Cements Limited,90.0,10.0
Acme Solar Holdings Limited,83.29,16.6
Acutaas Chemicals Limited,32.66,67.34
Adani Energy Solutions Limited,71.19,28.81
Adani Enterprises Limited,73.97,26.03
Adani Green Energy Limited,62.43,37.57
Adani Ports and Special Economic Zone Limited,68.02,31.98
Adani Power Limited,74.96,25.04
ADF Foods Limited,36.13,63.87
Archidply Decor Limited,72.96,27.04
Ador Welding Limited,53.73,46.27
Adroit Infotech Limited,37.47,62.53
Allied Digital Services Limited,51.07,48.93
Advait Energy Transitions Limited,66.8,33.2
Advance Agrolife Limited,69.89,30.11
Advani Hotels & Resorts (India) Limited,50.25,49.75
Advent Hotels International Limited,47.69,52.31
Advanced Enzyme Technologies Limited,43.04,56.96
Aegis Logistics Limited,58.1,41.9
Aegis Vopak Terminals Limited,86.93,13.07
Aequs Limited,59.08,38.57
Aeroflex Enterprises Limited,51.59,48.41
Aeroflex Industries Limited,66.99,33.01
Aeroflex Neu Limited,60.46,39.54
Aether Industries Limited,74.98,25.02
Afcons Infrastructure Limited,50.17,49.83
Affle 3i Limited,54.95,44.95
Affordable Robotic & Automation Limited,43.24,56.76
Akme Fintrade (India) Limited,41.2,58.8
Abans Financial Services Limited,71.36,28.64
Agarwal Industrial Corporation Limited,57.2,42.8
Dr. Agarwal's Health Care Limited,32.39,67.61
AGI Greenpac Limited,60.24,39.76
Agi Infra Limited,72.94,27.06
Agri-Tech (India) Limited,30.9,69.1
Agro Phos India Limited,54.27,45.73
Anlon Healthcare Limited,52.68,47.32
Ahlada Engineers Limited,49.3,50.7
Asian Hotels (East) Limited,65.63,34.37
Ahluwalia Contracts (India) Limited,55.32,44.68
Asian Hotels (West) Limited,72.07,27.93
AIA Engineering Limited,58.5,41.5
Ashapura Intimates Fashion Limited,14.76,85.24
Authum Investment & Infrastructure Limited,68.79,31.21
Airan Limited,72.21,27.79
Airo Lam limited,53.41,46.59
Ajanta Pharma Limited,66.25,33.75
Ajax Engineering Limited,80.0,20.0
Ajmera Realty & Infra India Limited,68.23,31.77
Ajooni Biotech Limited,26.89,73.11
AJR INFRA AND TOLLING LIMITED,10.72,89.28
Akash Infra-Projects Limited,74.59,25.41
Akg Exim Limited,37.6,62.4
AKI India Limited,53.92,46.08
Akshar Spintex Limited,0.27,99.73
AksharChem India Limited,62.7,37.3
Aksh Optifibre Limited,19.37,80.63
Akums Drugs and Pharmaceuticals Limited,75.26,22.01
Akzo Nobel India Limited,61.2,38.8
Alankit Limited,54.15,45.85
Albert David Limited,62.24,37.76
Alembic Limited,70.88,29.12
Algoquant Fintech Limited,73.68,26.32
Alicon Castalloy Limited,54.01,45.99
Alivus Life Sciences Limited,74.91,25.09
Alkali Metals Limited,69.59,30.41
Alkem Laboratories Limited,51.2,48.8
Alkyl Amines Chemicals Limited,72.03,27.97
Allcargo Logistics Limited,40.49,59.51
Alldigi Tech Limited,73.39,26.61
All Time Plastics Limited,70.14,29.86
Almondz Global Securities Limited,51.18,48.82
Alok Industries Limited,75.0,25.0
Alpa Laboratories Limited,57.29,42.71
Alphageo (India) Limited,45.99,54.01
Alps Industries Limited,22.21,77.79
Amanta Healthcare Limited,63.56,36.44
Amber Enterprises India Limited,38.19,61.81
Ambica Agarbathies & Aroma industries Limited,43.41,56.59
Ambika Cotton Mills Limited,50.35,49.65
Ambuja Cements Limited,67.68,32.32
AMD Industries Limited,66.73,33.27
Amj Land Holdings Limited,65.94,34.06
Amines & Plasticizers Limited,73.17,26.83
Amrutanjan Health Care Limited,46.52,53.45
Anand Rathi Wealth Limited,43.11,56.89
Anant Raj Limited,57.41,42.59
ANDHRA PAPER LIMITED,72.45,27.55
The Andhra Sugars Limited,50.49,49.51
Angel One Limited,28.87,71.13
Anik Industries Limited,39.74,60.26
Anmol India Limited,50.2,49.8
Ansal Properties & Infrastructure Limited,48.77,51.23
Antelopus Selan Energy Limited,69.94,30.06
Antarctica Limited,0.96,99.04
Anthem Biosciences Limited,74.69,25.31
Anuh Pharma Limited,71.82,28.18
The Anup Engineering Limited,40.92,59.08
Anupam Rasayan India Limited,59.07,40.93
Apar Industries Limited,57.77,42.23
Anjani Portland Cement Limited,75.0,25.0
Apcotex Industries Limited,58.23,41.77
Apex Frozen Foods Limited,72.62,27.38
APL Apollo Tubes Limited,28.27,71.73
Alembic Pharmaceuticals Limited,69.74,30.26
Apollo Micro Systems Limited,51.98,48.02
