COMPANY,PROMOTER & PROMOTER GROUP (A),PUBLIC (B)
S&S Power Switchgears Limited,74.97,25.03
Saatvik Green Energy Limited,75.99,24.01
Sab Events & Governance Now Media Limited,26.43,73.57
Sadbhav Engineering Limited,25.52,74.48
Sadbhav Infrastructure Project Limited,70.25,29.75
Sadhana Nitrochem Limited,29.97,70.03
Safari Industries (India) Limited,44.7,55.3
Sagardeep Alloys Limited,73.56,26.44
Sagar Cements Limited,48.33,51.67
SAGILITY LIMITED,50.95,49.05
Sahyadri Industries Limited,71.12,28.88
Steel Authority of India Limited,65.0,35.0
Sai Life Sciences Limited,34.7,65.3
Sakar Healthcare Limited,52.86,47.14
Sakthi Sugars Limited,59.83,40.17
Saksoft Limited,66.68,29.77
Sakuma Exports Limited,46.29,53.71
Salasar Techno Engineering Limited,46.59,53.41
Salona Cotspin Limited,68.42,31.58
S.A.L. Steel Limited,61.47,38.53
Salzer Electronics Limited,37.48,62.52
Sambhaav Media Limited,62.93,37.07
Sambhv Steel Tubes Limited,56.15,43.85
Samhi Hotels Limited,0.0,100.0
Sammaan Capital Limited,0.0,98.09
Sampann Utpadan India Limited,40.66,59.34
Sanathan Textiles Limited,78.58,21.42
Sanco Industries Limited,42.5,57.5
The Sandesh Limited,74.81,25.19
Sandhar Technologies Limited,70.38,29.62
Sandur Manganese & Iron Ores Limited,74.22,25.78
Sangam (India) Limited,70.35,27.98
Sanghi Industries Limited,75.0,25.0
Sanghvi Movers Limited,47.25,52.75
Sanginita Chemicals Limited,26.67,73.33
Sanofi India Limited,60.4,39.6
Sanofi Consumer Healthcare India Limited,71.27,28.73
Sansera Engineering Limited,30.18,69.82
Sanstar Limited,70.38,29.62
Sanwaria Consumer Limited,12.42,87.58
Sapphire Foods India Limited,26.07,73.93
Sarda Energy & Minerals Limited,73.16,26.84
Saregama India Limited,60.39,39.17
Sarla Performance Fibers Limited,57.07,42.93
Sarveshwar Foods Limited,40.97,59.03
Sasken Technologies Limited,43.08,56.92
Sastasundar Ventures Limited,74.69,25.31
Satia Industries Limited,52.46,47.54
Satin Creditcare Network Limited,36.17,63.39
Saurashtra Cement Limited,66.7,33.3
SBC Exports Limited,50.35,49.65
Shivalik Bimetal Controls Limited,33.17,66.83
SBFC Finance Limited,52.82,47.11
Suratwwala Business Group Limited,73.39,26.61
SBI Cards and Payment Services Limited,68.58,31.42
SBI Life Insurance Company Limited,55.34,44.66
State Bank of India,55.5,44.5
Schaeffler India Limited,74.13,25.87
S Chand And Company Limited,46.99,53.01
Schneider Electric Infrastructure Limited,75.0,25.0
Shipping Corporation Of India Limited,63.75,36.25
Shipping Corporation of India Land and Assets Limited,63.75,36.25
Scoda Tubes Limited,66.43,33.57
Sheetal Cool Products Limited,65.59,34.41
Som Distilleries & Breweries Limited,39.39,60.61
Seamec Limited,72.72,27.28
SecMark Consultancy Limited,75.0,25.0
SecUR Credentials Limited,0.0,100.0
SECUREKLOUD TECHNOLOGIES LIMITED,43.52,56.48
Sejal Glass Limited,69.96,30.04
Semac Construction Limited,62.85,37.15
Senco Gold Limited,64.46,35.54
Senores Pharmaceuticals Limited,45.8,54.2
SEPC Limited,26.53,73.47
Servotech Renewable Power System Limited,58.61,41.39
Seshasayee Paper and Boards Limited,43.03,56.97
Setco Automotive Limited,59.25,40.75
Standard Engineering Technology Limited,60.47,39.53
Seya Industries Limited,64.5,35.5
Sheela Foam Limited,65.69,34.31
SG Finserve Limited,50.3,49.7
Synergy Green Industries Limited,69.45,30.55
STL Global Limited,65.76,34.24
SG Mart Limited,36.27,63.73
Shah Metacorp Limited,29.15,70.85
Shah Alloys Limited,53.75,46.25
Shaily Engineering Plastics Limited,43.4,56.6
Shakti Pumps (India) Limited,50.34,49.66
Shalby Limited,74.33,25.01
Shalimar Paints Limited,74.96,25.04
Shankara Building Products Limited,40.18,59.82
Shanti Overseas (India) Limited,0.0,100.0
Shanthi Gears Limited,70.47,29.53
Shanti Gold International Limited,74.89,25.11
Sharda Cropchem Limited,74.82,25.18
Sharda Motor Industries Limited,64.31,35.69
Share India Securities Limited,48.62,51.38
Shekhawati Industries Limited,64.12,35.88
Shemaroo Entertainment Limited,65.54,34.46
Shilchar Technologies Limited,62.12,37.88
Shilpa Medicare Limited,40.13,59.87
Shivalik Rasayan Limited,47.37,52.63
Shivam Autotech Limited,69.52,30.48
Shiva Mills Limited,74.94,25.06
Shiva Texyarn Limited,74.04,25.96
Shiv Aum Steels Limited,73.53,26.47
S H Kelkar and Company Limited,54.87,45.13
Shoppers Stop Limited,65.7,34.3
Shradha Infraprojects Limited,74.97,25.03
Shree Digvijay Cement Co.Ltd,45.12,54.88
SHREE CEMENT LIMITED,62.55,37.45
Shreeji Shipping Global Limited,90.0,10.0
Shree Pushkar Chemicals & Fertilisers Limited,69.36,30.64
Shree Rama Multi-Tech Limited,61.57,38.43
Shrenik Limited,24.53,75.48
Shreyans Industries Limited,50.5,49.5
Shringar House of Mangalsutra Limited,74.8,25.2
Shriram Pistons & Rings Limited,43.75,56.25
Shriram Finance Limited,25.38,74.62
Shriram Properties Limited,27.89,72.11
Shyam Century Ferrous Limited,49.44,50.56
Shyam Metalics and Energy Limited,74.59,25.09
Shyam Telecom Limited,66.16,33.84
Sical Logistics Limited,89.87,10.13
Siemens Limited,75.0,25.0
Sigachi Industries Limited,39.7,60.3
Signet Industries Limited,72.9,27.1
Sigma Solve Limited,73.22,26.78
SIGMA ADVANCED SYSTEMS LIMITED,35.07,64.93
Signatureglobal (India) Limited,69.63,30.37
Signpost India Limited,67.74,32.26
Sikko Industries Limited,54.96,45.04
Standard Industries Limited,20.31,79.69
Silgo Retail Limited,52.57,47.43
SIL Investments Limited,63.79,36.21
Silly Monks Entertainment Limited,46.07,53.93
Silver Touch Technologies Limited,74.61,25.39
Simbhaoli Sugars Limited,53.33,46.67
Simplex Infrastructures Limited,35.99,64.01
Sinclairs Hotels Limited,62.66,37.34
Sindhu Trade Links Limited,74.97,25.03
Sintercom India Limited,69.74,30.26
Sirca Paints India Limited,65.19,34.81
SIS LIMITED,72.02,27.98
Siti Networks Limited,6.1,93.9
Siyaram Silk Mills Limited,67.44,32.56
S.J.S. Enterprises Limited,21.18,78.82
SJVN Limited,81.85,18.15
SKF India Limited,52.58,47.42
SKF India (Industrial) Limited,52.58,47.42
Skipper Limited,66.48,33.52
SKM Egg Products Export (India) Limited,57.43,42.57
SKY GOLD AND DIAMONDS LIMITED,51.74,48.26
Smartlink Holdings Limited,72.85,27.15
Smartworks Coworking Spaces Limited,58.18,41.82
SMC Global Securities Limited,66.76,33.24
SML Mahindra Limited,58.97,41.03
Sarthak Metals Limited,68.81,31.19
SMS Pharmaceuticals Limited,68.07,31.93
Snowman Logistics Limited,50.01,49.99
Sobha Limited,52.88,47.12
Softtech Engineers Limited,18.84,81.16
Solara Active Pharma Sciences Limited,42.0,58.0
Solar Industries India Limited,73.15,26.85
Solarworld Energy Solutions Limited,65.67,34.33
Solex Energy Limited,66.15,33.85
Somany Ceramics Limited,55.0,45.0
Soma Textiles & Industries Limited,80.6,19.4
Somi Conveyor Beltings Limited,59.09,40.91
Sona BLW Precision Forgings Limited,28.02,71.98
SONAM LIMITED,57.27,42.73
Sonata Software Limited,28.17,70.74
Savita Oil Technologies Limited,68.91,31.09
The South Indian Bank Limited,0.0,100.0
South West Pinnacle Exploration Limited,68.85,31.15
S. P. Apparels Limited,61.93,38.07
Spandana Sphoorty Financial Limited,48.16,51.84
Sun Pharma Advanced Research Company Limited,65.67,34.33
Spacenet Enterprises India Limited,15.56,84.44
Speciality Restaurants Limited,50.31,49.69
Spectrum Electrical Industries Limited,72.72,27.28
Spencer's Retail Limited,58.81,41.05
Southern Petrochemicals Industries Corporation  Limited,53.38,46.62
SPL Industries Limited,74.88,25.12
Supreme Petrochem Limited,64.24,35.76
SPML Infra Limited,37.79,62.21
SPML Infra Limited,37.79,62.21
Sportking India Limited,74.36,25.64
Shankar Lal Rampal Dye-Chem Limited,73.61,26.39
Sreeleathers Limited,75.0,25.0
SRF Limited,50.26,49.74
SRG Housing Finance Limited,59.06,40.94
Sree Rayalaseema Hi-Strength Hypo Limited,60.45,39.55
SRM Contractors Limited,72.59,27.41
Shree Ram Proteins Limited,4.08,95.92
Saraswati Saree Depot Limited,74.98,25.02
Steel Strips Wheels Limited,61.14,38.86
Stallion India Fluorochemicals Limited,64.84,35.16
Stanley Lifestyles Limited,56.7,43.3
Strides Pharma Science Limited,27.86,72.14
Star Cement Limited,57.62,42.38
Star Health and Allied Insurance Company Limited,57.98,42.02
Star Paper Mills Limited,44.93,55.07
Starteck Finance Limited,73.3,26.7
The State Trading Corporation of India Limited,90.0,10.0
Steelcast Limited,45.0,55.0
Steel City Securities Limited,74.7,25.3
STEEL EXCHANGE INDIA LIMITED,50.8,49.2
Stel Holdings Limited,71.33,28.67
Sterling Tools Limited,65.15,34.85
STL Networks Limited,44.16,55.84
Sterlite Technologies Limited,44.44,55.56
Stove Kraft Limited,55.79,44.21
Studds Accessories Limited,61.75,38.25
Seshaasai Technologies Limited,81.8,18.2
Stylam Industries Limited,52.19,47.81
Baazar Style Retail Limited,45.71,54.29
Styrenix Performance Materials Limited,46.24,53.76
Subex Limited,0.0,98.73
Subros Limited,36.79,63.21
Sudarshan Colorants India Limited,70.26,29.74
Sudarshan Chemical Industries Limited,8.19,91.81
Sudeep Pharma Limited,76.15,23.85
Sukhjit Starch & Chemicals Limited,66.07,33.93
Sula Vineyards Limited,24.35,75.65
Sumeet Industries Limited,89.83,10.17
Sumitomo Chemical India Limited,75.0,25.0
Sumit Woods Limited,58.31,41.69
Summit Securities Limited,74.65,25.35
Sundaram Clayton Limited,59.09,40.91
Sundaram Multi Pap Limited,31.11,68.89
Sundaram Finance Limited,37.21,61.99
Sundaram Brake Linings Limited,63.94,36.06
Sundram Fasteners Limited,46.95,53.05
Sundrop Brands Limited,38.91,61.09
Sunflag Iron And Steel Company Limited,51.16,48.84
Sun Pharmaceutical Industries Limited,54.48,45.52
Sunteck Realty Limited,63.3,36.7
Sun TV Network Limited,75.0,25.0
Superhouse Limited,54.88,45.12
Super Spinning Mills Limited,42.8,57.2
Suprajit Engineering Limited,45.14,54.86
Supreme Holdings & Hospitality (India) Limited,58.17,41.83
Supreme Engineering Limited,41.27,58.73
Supreme Industries Limited,48.96,51.04
Supreme Infrastructure India Limited,34.68,65.32
Supriya Lifescience Limited,68.3,31.7
Suraj Estate Developers Limited,69.6,30.4
Suraj Limited,75.0,25.0
Suraksha Diagnostic Limited,49.0,51.0
Surana Solar Limited,43.71,56.29
Surana Telecom and Power Limited,71.51,28.49
Suryalakshmi Cotton Mills Limited,60.93,39.07
Surya Roshni Limited,62.89,37.1
Suryoday Small Finance Bank Limited,22.44,77.56
Sutlej Textiles and Industries Limited,63.96,36.04
Suven Life Sciences Limited,67.36,32.64
Suvidhaa Infoserve Limited,38.33,61.67
Suyog Telematics Limited,52.02,47.98
Suzlon Energy Limited,11.73,88.27
Shree Vasu Logistics Limited,73.64,26.36
SVP GLOBAL TEXTILES LIMITED,52.75,47.25
SWAN CORP LIMITED,53.96,46.04
Swan Defence and Heavy Industries Limited,94.91,5.09
Swaraj Engines Limited,52.12,47.88
Swelect Energy Systems Limited,56.37,43.63
Swiggy Limited,0.0,94.06
Sterling and Wilson Renewable Energy Limited,45.72,54.28
Symphony Limited,73.43,26.57
Syncom Formulations (India) Limited,50.57,49.43
Syngene International Limited,52.68,47.02
Syrma SGS Technology Limited,42.72,57.15
Systematix Corporate Services Limited,70.58,29.42
Tainwala Chemical and Plastic (I) Limited,67.51,32.49
Taj GVK Hotels & Resorts Limited,71.0,29.0
Take Solutions Limited,0.0,100.0
Talbros Automotive Components Limited,58.43,41.57
Tanla Platforms Limited,46.17,53.36
Tara Chand InfraLogistic Solutions Limited,71.58,28.42
Tarapur Transformers Limited,21.95,78.05
TARC Limited,65.12,34.88
Transformers And Rectifiers (India) Limited,64.36,35.64
Tarmat Limited,30.13,69.87
Tarsons Products Limited,47.3,52.7
Tasty Bite Eatables Limited,74.23,25.77
Tata Capital Limited,85.41,13.93
Tata Chemicals Limited,37.98,62.02
Tata Communications Limited,58.86,41.14
TATA CONSUMER PRODUCTS LIMITED,33.84,66.16
Tata Elxsi Limited,43.9,56.1
Tata Investment Corporation Limited,73.38,26.62
Tata Power Company Limited,46.86,53.14
Tata Steel Limited,33.19,66.81
Tata Technologies Limited,55.21,44.79
Tatva Chintan Pharma Chem Limited,72.02,27.98
TBO Tek Limited,44.41,53.7
Tribhovandas Bhimji Zaveri Limited,74.12,25.88
Transport Corporation of India Limited,68.73,31.27
TCI Express Limited,69.46,30.54
TCI Finance Limited,24.72,75.28
TCPL Packaging Limited,55.74,44.05
Tata Consultancy Services Limited,71.77,28.23
TD Power Systems Limited,26.87,73.13
Team India Guaranty Limited,74.92,25.08
Teamlease Services Limited,31.11,68.86
Techindia Nirman Limited,17.52,82.48
Tech Mahindra Limited,34.98,65.02
Techno Electric & Engineering Company Limited,56.92,43.08
TECIL Chemicals and Hydro Power Limited,47.71,52.29
Tega Industries Limited,67.27,32.73
Tejas Networks Limited,53.46,46.34
Tembo Global Industries Limited,36.38,63.62
Tenneco Clean Air India Limited,74.79,25.21
Tera Software Limited,47.53,52.47
Texmaco Infrastructure & Holdings Limited,65.8,34.2
Texmo Pipes and Products Limited,44.24,55.76
Texmaco Rail & Engineering Limited,48.34,51.66
Tourism Finance Corporation of India Limited,3.85,96.15
Transwarranty Finance Limited,54.84,45.16
TGB Banquets And Hotels Limited,31.23,68.77
Thangamayil Jewellery Limited,61.56,38.44
The Investment Trust Of India Limited,72.12,27.88
Thejo Engineering Limited,53.61,46.39
Leela Palaces Hotels & Resorts Limited,75.91,24.09
Themis Medicare Limited,67.11,32.89
Thermax Limited,61.98,32.56
Thomas Cook  (India)  Limited,63.83,35.2
Thomas Scott (India) Limited,52.15,47.85
Thyrocare Technologies Limited,60.93,39.07
Tilaknagar Industries Limited,31.71,68.29
Twamev Construction and Infrastructure Limited,84.52,15.48
Tiger Logistics (India) Limited,57.1,42.9
Technocraft Industries (India) Limited,74.75,25.25
Tube Investments of India Limited,44.05,55.95
Tijaria Polypipes Limited,35.26,64.74
TIL Limited,68.43,31.57
Time Technoplast Limited,47.51,52.49
Timken India Limited,51.05,48.95
Tinna Rubber and Infrastructure Limited,67.58,32.42
Tips Films Limited,74.98,25.02
Tips Music Limited,64.15,35.85
Thirumalai Chemicals Limited,37.13,62.87
Tirupati Forge Limited,48.93,51.07
TITAGARH RAIL SYSTEMS LIMITED,40.46,59.54
Titan Company Limited,52.9,47.02
Tamilnad Mercantile Bank Limited,0.0,100.0
Tata Motors Limited,42.56,57.44
Tata Motors Passenger Vehicles Limited,42.56,57.44
Tamilnadu PetroProducts Limited,34.54,65.46
Tamil Nadu Newsprint & Papers Limited,35.32,64.68
Tamilnadu Telecommunication Limited,63.65,36.35
Tokyo Plast International Limited,68.8,31.2
Tolins Tyres Limited,68.53,31.47
Torrent Pharmaceuticals Limited,68.31,31.69
Torrent Power Limited,51.09,48.91
Total Transport Systems Limited,48.23,51.77
Touchwood Entertainment Limited,62.89,37.11
Teamo Productions HQ Limited,26.48,73.52
TPL Plastech Limited,74.86,25.14
Tracxn Technologies Limited,34.44,65.56
Transrail Lighting Limited,71.12,28.88
TRANSWORLD SHIPPING LINES LIMITED,70.44,29.56
Travel Food Services Limited,86.19,13.81
Tree House Education & Accessories Limited,23.54,76.46
TREJHARA SOLUTIONS LIMITED,23.07,76.93
Transindia Real Estate Limited,70.44,29.56
Trent Limited,37.01,62.99
TRF Limited,34.12,65.88
Trident Limited,73.68,26.32
Trigyn Technologies Limited,44.51,55.49
Triveni Turbine Limited,55.84,44.16
Triveni Engineering & Industries Limited,60.98,39.02
TruCap Finance Limited,30.96,69.04
TruAlt Bioenergy Limited,70.55,29.45
TSF INVESTMENTS LIMITED,55.01,44.35
TTK Healthcare Limited,74.56,25.44
TTK Prestige Limited,70.52,29.48
T T Limited,50.3,49.7
Tata Teleservices (Maharashtra) Limited,74.36,25.64
TVS Electronics Limited,59.77,40.23
TVS Holdings Limited,74.45,25.55
TVS Motor Company Limited,50.27,49.71
TVS Supply Chain Solutions Limited,43.03,56.97
TVS Srichakra Limited,45.7,54.3
TV Today Network Limited,63.21,36.79
TV Vision Limited,32.2,67.8
United Breweries Limited,70.83,29.17
UCAL LIMITED,70.28,29.72
UCO Bank,90.95,9.05
Updater Services Limited,59.09,40.91
Ujaas Energy Limited,74.96,25.04
United Foodbrands Limited,34.56,65.44
UFLEX Limited,44.58,55.42
UFO Moviez India Limited,22.33,77.67
The Ugar Sugar Works Limited,46.75,53.25
Ugro Capital Limited,1.7,96.71
Ujjivan Small Finance Bank Limited,0.0,100.0
UltraTech Cement Limited,59.29,40.53
Uma Exports Limited,72.51,27.49
Usha Martin Education & Solutions Limited,39.82,60.18
UMIYA BUILDCON LIMITED,64.43,35.57
Unichem Laboratories Limited,70.22,29.78
United Drilling Tools Limited,74.65,25.35
Unicommerce Esolutions Limited,36.02,63.98
Uniphos Enterprises Limited,73.79,26.21
Uniinfo Telecom Services Limited,50.91,49.09
Unimech Aerospace and Manufacturing Limited,79.82,20.18
Union Bank of India,74.76,25.24
Uniparts India Limited,65.89,34.01
United Spirits Limited,56.67,43.33
Unitech Limited,5.13,94.87
United Polyfab Gujarat Limited,51.51,48.49
The United Nilgiri Tea Estates Company Limited,49.79,50.21
Univa Foods Limited,0.0,100.0
Univastu India Limited,67.46,32.54
Universal Cables Limited,61.89,38.11
Universus Photo Imagings Limited,74.55,25.45
UNO Minda Limited,68.41,31.59
UPL Limited,33.5,66.5
Uravi Defence and Technology Limited,54.19,45.81
Urban Company Limited,20.29,79.71
Urja Global Limited,18.35,81.65
Usha Martin Limited,40.52,59.37
Udayshivakumar Infra Limited,65.95,34.05
UTI Asset Management Company Limited,0.0,100.0
Utkarsh Small Finance Bank Limited,42.67,57.33
Fujiyama Power Systems Limited,86.77,13.23
Uttam Sugar Mills Limited,74.39,25.61
U. Y. Fincorp Limited,71.38,28.62
V2 Retail Limited,51.43,48.57
Vadilal Industries Limited,64.72,35.28
Vaibhav Global Limited,57.11,42.85
Vaishali Pharma Limited,31.61,68.39
Vakrangee Limited,40.05,59.95
Valecha Engineering Limited,18.09,81.91
Valiant Laboratories Limited,74.94,25.06
Valiant Organics Limited,37.89,62.11
Vardhman Acrylics Limited,74.97,25.03
Vardhman Polytex Limited,34.22,65.78
Varroc Engineering Limited,75.0,25.0
Vascon Engineers Limited,30.78,69.22
Vaswani Industries Limited,62.06,37.94
Varun Beverages Limited,59.44,40.56
Vaxtex Cotfab Limited,0.84,99.16
Vedanta Limited,56.38,43.56
Veedol Corporation Limited,64.58,32.95
Venky's (India) Limited,56.11,43.89
Ventive Hospitality Limited,88.98,11.02
Venus Pipes & Tubes Limited,48.41,51.59
Venus Remedies Limited,41.76,58.24
Veranda Learning Solutions Limited,33.96,66.04
Vertoz Limited,64.74,35.26
Vesuvius India Limited,55.57,44.43
Veto Switchgears And Cables Limited,45.06,54.94
VARVEE GLOBAL LIMITED,65.63,34.37
V-Guard Industries Limited,53.28,46.72
Vardhman Holdings Limited,74.9,25.1
Viceroy Hotels Limited,84.11,15.89
Vidhi Specialty Food Ingredients Limited,64.27,35.73
Vidya Wires Limited,72.8,27.2
Vijaya Diagnostic Centre Limited,52.6,47.4
Viji Finance Limited,53.02,46.98
Vikas EcoTech Limited,10.65,89.35
Vikas Lifecare Limited,14.2,85.8
Vikram Solar Limited,63.01,36.99
Vikran Engineering Limited,56.17,43.83
Vimta Labs Limited,35.9,64.1
Vinati Organics Limited,74.28,25.72
Vintage Coffee And Beverages Limited,34.65,65.35
Vindhya Telelinks Limited,43.54,56.46
Vineet Laboratories Limited,12.46,87.54
Vinny Overseas Limited,38.27,61.73
Vinyl Chemicals (India) Limited,50.41,49.59
VIP Clothing Limited,46.55,53.45
VIP Industries Limited,42.35,57.65
Vipul Limited,18.25,81.75
Virinchi Limited,37.51,62.49
Visaka Industries Limited,53.24,46.76
Visa Steel Limited,57.6,42.4
Vishnu Chemicals Limited,69.21,30.79
Vishwaraj Sugar Industries Limited,29.05,70.95
Visagar Polytex Limited,5.63,94.37
Vivimed Labs Limited,7.77,92.23
Viyash Scientific Limited,61.41,38.49
VL E-Governance & IT Solutions Limited,23.24,76.76
VLS Finance Limited,52.02,47.98
V-Mart Retail Limited,44.15,55.85
Vishal Mega Mart Limited,54.09,45.91
VMS TMT Limited,67.18,32.82
Voltamp Transformers Limited,30.0,70.0
Voltas Limited,30.3,69.7
Vishnu Prakash R Punglia Limited,52.64,47.36
Vraj Iron and Steel Limited,74.95,25.05
VRL Logistics Limited,60.24,39.76
Vardhman Special Steels Limited,51.1,48.9
VST Industries Limited,32.16,67.65
Vibhor Steel Tubes Limited,73.66,26.34
V.S.T Tillers Tractors Limited,55.61,44.39
Vardhman Textiles Limited,64.44,35.56
Waaree Energies Limited,64.22,35.78
Indosolar Limited,74.93,25.07
Waaree Renewable Technologies Limited,74.32,25.68
VA Tech Wabag Limited,19.09,80.91
Wakefit Innovations Limited,37.39,62.61
Walchandnagar Industries Limited,31.59,68.41
Wanbury Limited,43.07,56.93
Western Carriers (India) Limited,72.86,27.14
Wealth First Portfolio Managers Limited,74.04,25.96
Websol Energy System Limited,27.71,72.29
Weizmann Limited,68.34,31.66
Wonder Electricals Limited,71.79,28.21
Welspun Corp Limited,49.73,50.24
Welspun Enterprises Limited,56.13,42.71
Welspun Investments and Commercials Limited,74.58,25.42
Welspun Living Limited,66.24,33.4
Wendt (India) Limited,37.5,62.5
WESTLIFE FOODWORLD LIMITED,56.26,43.28
WE WIN LIMITED,70.9,29.1
WeWork India Management Limited,49.8,50.2
Wheels India Limited,58.31,41.69
Whirlpool of India Limited,39.76,60.24
Williamson Magor & Company Limited,62.01,37.99
Windlas Biotech Limited,61.99,38.01
Windsor Machines Limited,46.18,53.82
Winsome Yarns Limited,38.67,61.33
The Western India Plywoods Limited,39.37,60.63
Wipro Limited,72.63,27.25
Wockhardt Limited,49.08,50.92
Wonderla Holidays Limited,62.25,37.75
Worth Peripherals Limited,68.16,31.84
W S Industries (I) Limited,59.35,40.65
West Coast Paper Mills Limited,56.55,43.45
Xchanging Solutions Limited,75.0,25.0
Xelpmoc Design And Tech Limited,49.67,50.33
XL Energy Limited,95.0,5.0
Xpro India Limited,40.31,59.69
Xtglobal Infotech Limited,62.81,37.19
Yasho Industries Limited,67.99,32.01
Yatharth Hospital & Trauma Care Services Limited,55.8,44.2
Yatra Online Limited,64.46,35.54
Yes Bank Limited,0.0,100.0
Yuken India Limited,58.04,41.96
Zaggle Prepaid Ocean Services Limited,44.13,55.87
Zee Entertainment Enterprises Limited,3.99,96.01
Zee Learn Limited,15.01,84.99
Zee Media Corporation Limited,9.48,90.52
Zenith Exports Limited,45.54,54.46
Zenith Steel Pipes & Industries Limited,15.64,84.36
Zensar Technologies Limited,49.01,50.65
Zen Technologies Limited,48.51,51.07
ZF Commercial Vehicle Control Systems India Limited,60.0,40.0
Zim Laboratories Limited,33.26,66.74
Zodiac Energy Limited,69.91,30.09
Zodiac Clothing Company Limited,71.4,28.6
Zota Health Care LImited,50.64,49.36
Zuari Agro Chemicals Limited,65.21,34.79
ZUARI INDUSTRIES LIMITED,56.71,43.29
Zydus Lifesciences Limited,75.0,25.0
Zydus Wellness Limited,69.63,30.37
Balu Forge Industries Limited,54.37,45.63
Paradeep Phosphates Limited,57.7,42.3
Gujarat Kidney And Super Speciality Limited,71.45,28.55
Ram Ratna Wires Limited,68.54,31.46
S.A.L. Steel Limited,61.47,38.53
Foseco India Limited,63.54,36.46
GRM Overseas Limited,68.27,31.73
JK Tyre & Industries Limited,51.72,48.28
HFCL Limited,28.29,71.68
Vaishali Pharma Limited,31.61,68.39
Adani Ports and Special Economic Zone Limited,68.02,31.98
Marine Electricals (India) Limited,68.54,31.46
Thirumalai Chemicals Limited,37.13,62.87
KSH International Limited,74.58,25.42
Dr. Lal Path Labs Ltd.,53.21,46.44
Patel Engineering Limited,31.48,64.78
Visa Steel Limited,57.6,42.4
IndoStar Capital Finance Limited,70.39,29.61
Jupiter Wagons Limited,68.31,31.69
Rudra Global Infra Products Limited,72.88,27.12
ICICI Prudential Asset Management Company Limited,87.59,12.41
Indian Overseas Bank,92.44,7.56
Orchasp Limited,18.48,81.52
Tembo Global Industries Limited,36.38,63.62
Sejal Glass Limited,69.96,30.04
Zota Health Care LImited,51.56,48.44
Moneyboxx Finance Limited,44.59,55.41
Nephrocare Health Services Limited,63.85,36.15
Optiemus Infracom Limited,72.43,27.57
Park Medi World Limited,82.89,17.11
Viyash Scientific Limited,61.43,38.48
Bharat Rasayan Limited,74.99,25.01
CORONA Remedies Limited,69.0,31.0
Swiggy Limited,0.0,93.97
Bharat Rasayan Limited,74.99,25.01
GHCL Limited,19.83,80.17
Ratnaveer Precision Engineering Limited,42.63,57.37
Wakefit Innovations Limited,37.39,62.61
Adani Enterprises Limited,73.97,26.03
Allcargo Terminals Limited,67.17,32.83
Modi Naturals Limited,69.09,30.91
Aequs Limited,59.08,38.57
Kanpur Plastipack Limited,68.12,31.88
Meesho Limited,16.76,83.24
Sikko Industries Limited,54.96,45.04
Vidya Wires Limited,72.8,27.2
Baid Finserv Limited,45.71,54.29
Choice International Limited,53.65,46.35
Ugro Capital Limited,1.72,96.66
Infosys Limited,14.55,85.21
Bank of Maharashtra,73.6,26.4
SKF India (Industrial) Limited,52.58,47.42
Tembo Global Industries Limited,36.97,63.03
Jaykay Enterprises Limited,65.19,34.81
Thyrocare Technologies Limited,60.93,39.07
Camlin Fine Sciences Limited,48.03,51.97
Choice International Limited,55.03,44.97
EFC (I) Limited,60.45,39.55
Medi Assist Healthcare Services Limited,4.63,95.37
Paushak Limited,67.28,32.72
Tega Industries Limited,67.27,32.73
Tembo Global Industries Limited,37.43,62.57
HDFC Asset Management Company Limited,52.38,47.62
Sudeep Pharma Limited,76.15,23.85
Tembo Global Industries Limited,41.12,58.88
Apollo Micro Systems Limited,52.41,47.59
Excelsoft Technologies Limited,59.09,40.91
KSR Footwear Limited,59.83,40.17
Tembo Global Industries Limited,41.73,58.27
Excelsoft Technologies Limited,59.09,40.91
IndoStar Capital Finance Limited,67.59,32.41
Inox Green Energy Services Limited,54.82,45.18
Ugro Capital Limited,1.83,96.44
India Glycols Limited,59.63,40.37
Tembo Global Industries Limited,42.18,57.82
Arihant Capital Markets Limited,67.67,32.32
Fineotex Chemical Limited,62.57,37.43
Shilchar Technologies Limited,62.12,37.88
Tembo Global Industries Limited,42.97,57.03
Capillary Technologies India Limited,52.16,47.84
SPML Infra Limited,38.36,61.64
Tilaknagar Industries Limited,31.5,68.5
Fujiyama Power Systems Limited,86.77,13.23
Lexus Granito (India) Limited,54.33,45.67
Tenneco Clean Air India Limited,74.79,25.21
Emmvee Photovoltaic Power Limited,80.03,19.97
Physicswallah Limited,72.3,27.7
SMC Global Securities Limited,67.65,32.35
Artemis Medicare Services Limited,58.43,41.57
Modis Navnirman Limited,63.79,36.21
Pine Labs Limited,0.0,100.0
Advent Hotels International Limited,47.41,52.59
Allcargo Logistics Limited,41.52,58.48
Capital Trust Limited,54.13,45.45
Choice International Limited,55.7,44.3
Le Travenues Technology Limited,0.0,100.0
SEPC Limited,27.15,72.85
Tata Motors Limited,42.56,57.44
Billionbrains Garage Ventures Limited,27.81,72.19
Magnum Ventures Limited,55.21,44.79
Magellanic Cloud Limited,57.84,42.16
Time Technoplast Limited,47.46,52.54
DELPHI WORLD MONEY LIMITED,61.32,38.68
Himadri Speciality Chemical Limited,52.5,47.5
Lenskart Solutions Limited,17.57,82.01
